iter	Passed	Remaining
0	239	119421
1	305	76052
2	371	61561
3	429	53270
4	489	48424
5	560	46112
6	627	44163
7	675	41529
8	723	39477
9	772	37864
10	828	36808
11	882	35886
12	958	35912
13	1037	36030
14	1102	35644
15	1162	35175
16	1219	34656
17	1275	34151
18	1331	33716
19	1388	33330
20	1440	32848
21	1493	32458
22	1549	32131
23	1599	31731
24	1648	31322
25	1697	30954
26	1747	30610
27	1792	30219
28	1850	30052
29	1906	29867
30	1974	29867
31	2033	29737
32	2090	29577
33	2233	30612
34	2294	30481
35	2354	30347
36	2413	30196
37	2477	30115
38	2546	30100
39	2609	30006
40	2662	29807
41	2719	29657
42	2802	29783
43	2879	29844
44	2960	29929
45	3029	29904
46	3092	29803
47	3150	29662
48	3216	29608
49	3278	29506
50	3331	29329
51	3386	29171
52	3435	28979
53	3490	28825
54	3541	28655
55	3595	28508
56	3662	28464
57	3717	28329
58	3776	28224
59	3858	28298
60	3921	28224
61	3973	28069
62	4026	27932
63	4078	27781
64	4132	27655
65	4181	27497
66	4233	27359
67	4285	27223
68	4335	27083
69	4382	26918
70	4431	26778
71	4479	26626
72	4526	26479
73	4572	26324
74	4629	26231
75	4692	26177
76	4745	26070
77	4774	25833
78	4825	25715
79	4865	25543
80	4905	25375
81	4956	25264
82	4996	25101
83	5035	24939
84	5076	24785
85	5113	24617
86	5154	24466
87	5194	24318
88	5238	24189
89	5285	24079
90	5331	23962
91	5384	23878
92	5428	23758
93	5478	23661
94	5523	23547
95	5567	23431
96	5616	23332
97	5663	23232
98	5712	23136
99	5761	23045
100	5815	22972
101	5869	22902
102	5922	22827
103	5964	22709
104	6004	22588
105	6058	22518
106	6125	22499
107	6187	22457
108	6249	22419
109	6304	22352
110	6363	22300
111	6407	22197
112	6457	22116
113	6504	22022
114	6546	21916
115	6587	21808
116	6630	21706
117	6674	21607
118	6717	21506
119	6758	21403
120	6799	21298
121	6837	21185
122	6877	21078
123	6915	20970
124	6953	20859
125	6995	20765
126	7034	20661
127	7084	20589
128	7125	20493
129	7164	20392
130	7207	20300
131	7254	20225
132	7299	20142
133	7341	20052
134	7382	19958
135	7422	19867
136	7466	19782
